Millis,m_currentPosition,m_pressedButtonDebug,m_bytesToSent,CurrentPosition,CurrentDirection,TargetPosition,MSStopped,startButton,stopButton,parkingButton,m_P,m_I,m_D,m_goalType,m_goal,m_lastError,m_errorSum,m_lastFilteredYaw,,yaw,pitch,roll,freq,magMin[0],magMin[1],magMin[2],magMax[0],magMax[1],magMax[2],m_speed,m_speed.tripMileage,m_speed.totalMileage,m_speed.waterTemp,m_lampIntensity,m_wind.apparentAngle,m_wind.apparentSpeed,m_wind.displayInKnots,m_wind.displayInMpS,m_depth.anchorAlarm,m_depth.deepAlarm,m_depth.defective,m_depth.depthBelowTransductor,m_depth.metricUnits,m_depth.shallowAlarm,m_depth.unknown,Position,
48050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.65,,97.56,11.40,-8.87,48.87,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,21.00,-1,33.00,1.40,1,0,0,0,0,87.11,1,0,1,,
49050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.66,,99.33,10.95,-8.40,51.23,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,33.00,1.40,1,0,0,0,0,13.69,1,0,1,,
50050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.75,,97.69,10.94,-7.83,48.77,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.30,1,0,0,0,0,13.69,1,0,1,,
51050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.85,,97.54,11.33,-8.66,51.49,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,21.00,-1,34.00,1.30,1,0,0,0,0,13.69,1,0,1,,
52050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.86,,97.70,11.38,-8.42,48.96,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,21.00,-1,34.00,1.30,1,0,0,0,0,9.17,1,0,1,,
53069,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.92,,96.85,11.55,-8.05,23.93,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,35.00,1.20,1,0,0,0,0,9.17,1,0,1,,
54050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.68,,97.65,11.16,-8.57,49.15,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.20,1,0,0,0,0,9.17,1,0,1,,
55050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.51,,98.18,12.33,-7.91,23.51,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.20,1,0,0,0,0,9.17,1,0,1,,
56050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.39,,97.07,11.38,-8.62,52.09,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,34.00,1.10,1,0,0,0,0,9.14,1,0,1,,
57050,0,0,0,0,1,0,44050,1,1,1,2.00,0.20,8.00,0,0.00,0.00,0.00,97.36,,97.35,11.49,-7.63,98.04,-69.00,-48.00,-220.00,122.00,144.00,50.00,5.40,1.32,-1.00,19.00,-1,35.00,1.10,1,0,0,0,0,9.14,1,0,1,,
