Millis	m_currentPosition	m_pressedButtonDebug	m_bytesToSent	CurrentPosition	CurrentDirection	TargetPosition	MSStopped	startButton	stopButton	parkingButton	m_P	m_I	m_D	m_goalType	m_goal	m_lastError	m_errorSum	m_lastFilteredYaw		yaw	filteredYaw	pitch	roll	freq	magMin[0]	magMin[1]	magMin[2]	magMax[0]	magMax[1]	magMax[2]	m_speed	m_speed.tripMileage	m_speed.totalMileage	m_speed.waterTemp	m_lampIntensity	m_wind.apparentAngle	m_wind.apparentSpeed	m_wind.displayInKnots	m_wind.displayInMpS	m_depth.anchorAlarm	m_depth.deepAlarm	m_depth.defective	m_depth.depthBelowTransductor	m_depth.metricUnits	m_depth.shallowAlarm	m_depth.unknown	Position	
25250	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		184.78	-7.70	4.31	146.97	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25300	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		185.01	-7.66	4.21	84.26	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25350	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		185.34	-7.63	4.03	65.07	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25400	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		185.54	-7.52	4.01	74.96	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25453	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.04		185.19	-7.60	4.32	144.93	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25500	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		185.01	-7.56	4.42	146.97	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25550	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		184.77	-7.58	4.60	66.58	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25600	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		184.62	-7.48	4.59	83.89	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25653	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		184.07	-7.42	4.94	34.35	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25700	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		183.59	-7.45	5.13	146.97	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	1.00	1	0	0	0	0	12.22	1	0	1		
25750	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		182.87	-7.46	5.49	57.83	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	0.90	1	0	0	0	0	12.22	1	0	1		
25800	-1	0	0	-1	1	-1	53	1	1	1	36.00	3.79	82.02	0	0.00	0.00	0.00	182.76		182.40	-7.46	5.72	83.78	-62.00	-21.00	-200.00	39.00	24.00	-156.00	4.60	-1.00	-1.00	16.00	-1	29.00	0.90	1	0	0	0	0	12.22	1	0	1		
